tool_id,tool_name,function,semantic_input,输入格式,semantic_output,输出格式,下游工具,适用组学
T011,rsem,该流程基于 RSEM 工具，接收 STAR 比对生成的转录组 BAM 文件和 RSEM 索引，进行基因和转录本水平的表达定量分析。 输入为转录组 BAM 文件和 RSEM 索引目录，输出包括基因表达量结果、转录本表达量结果、统计文件和运行日志。,RNA_TRANSCRIPTOME_ALIGNMENT_BAM,BAM,TABULAR_BIO_DATA; QC_STATS_REPORT,LOG,RSEM,RNA
T012,featurecounts,该流程使用 featureCounts 工具对 RNA-seq 比对后的 BAM 文件进行基因水平计数。 输入为最终 BAM 文件和 GTF 注释文件，输出为基因计数矩阵、统计摘要和运行日志。 适用于 RNA-seq 定量分析中的基因表达计数步骤。,DNA_GENOMIC_ALIGNMENT_BAM,"BAM, GTF",TABULAR_BIO_DATA; QC_STATS_REPORT,"TXT, LOG",featureCounts,RNA
T013,multiqc,接收任意数量的上游质控文件（如 FastQC、fastp、SAMtools、BCFtools、SnpEff 等）， 生成交互式 MultiQC HTML 汇总报告及实际使用的配置文件。适用于 WES、WGS、RNA-seq 等流程。,,,QC_STATS_REPORT,"HTML, YAML",MultiQC,"WGS, WES, RNA"
T029,diff_expr_go,基于表达矩阵进行差异基因分析（limma）并针对上下调基因分别进行 GO 功能富集（clusterProfiler）。 适用于 FPKM/TPM 定量数据的两组比较场景，输出差异基因列表及 GO 富集结果表。,TABULAR_BIO_DATA,TSV,TABULAR_BIO_DATA,TSV,,RNA
T030,diff_expr_kegg,基于 limma 包进行两组样本差异表达分析，并使用 ReactomePA 对上下调基因进行通路富集。 适用于人类基因表达矩阵（FPKM/TPM），输出差异基因列表及富集结果。,TABULAR_BIO_DATA,TSV,TABULAR_BIO_DATA,TSV,,RNA
T031,driver_gene_gender_analysis,该流程基于 WES MAF 文件、临床表和 MetaInfo 表，对驱动基因的突变频率进行性别分层分析。 通过卡方检验比较男性和女性样本中每个驱动基因的突变率，并输出统计结果表、诊断表及多种可视化图表（分组柱状图、瀑布图、热图、火山图）。,MUTATION_ANNOTATION_FORMAT_MAF; CLINICAL_DATA_EXCEL,"MAF, XLS, XLSX",TABULAR_BIO_DATA; MUTATION_ANNOTATION_FORMAT_MAF; VISUALIZATION_RESULT,"TSV, PNG, PDF",,"WES, Clinical"
T032,her2_pfs_survival,基于 TPM 表达矩阵、临床信息及样本元信息，分析特定基因（默认 HER2）表达水平与无进展生存期（PFS）的关联。 流程自动匹配样本 accession，执行 Winsorizing 处理，生成 KM 生存曲线、Logrank 统计量及质量控制报告。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL,"TSV, XLS, XLSX",QC_STATS_REPORT; TABULAR_BIO_DATA; VISUALIZATION_RESULT,"TXT, JSON, TSV, PNG, PDF",,"RNA, Clinical"
T033,immune_infiltration_iobr,基于 IOBR 包的 CIBERSORT 算法进行免疫细胞浸润分析流程。 输入基因表达 TPM 矩阵、临床信息和样本元数据，输出免疫细胞比例估计、可靠性评估及可视化图表。 适用于批量 RNA-seq 数据的肿瘤微环境免疫细胞组成分析。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL,"TSV, XLS, XLSX",TABULAR_BIO_DATA; QC_STATS_REPORT; VISUALIZATION_RESULT,"TSV, JSON, TXT, PNG, PDF",CIBERSORT,"RNA, Clinical"
T034,paired_fastq_to_unmapped_bam,将双端 FASTQ 测序数据转换为未比对的 BAM 文件 (uBAM)，并添加完整的 Read Group 信息。 适用于 GATK 最佳实践流程的起始步骤，输出可用于后续变异检测流程的标准化 BAM 文件。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; DNA_GENOMIC_ALIGNMENT_BAM,FASTQ,DNA_GENOMIC_ALIGNMENT_BAM,"BAM, LIST",,WES
T035,rnaseq_unsupervised_cluster,本流程针对 RNA-seq count 矩阵进行无监督聚类分析，涵盖数据预处理、高变基因筛选、PCA 降维及高斯混合模型聚类。 同时通过 Bootstrap 重采样评估聚类稳定性并计算显著性 P 值，适用于无样本元数据场景的探索性分析。,TABULAR_BIO_DATA,TSV,TABULAR_BIO_DATA; QC_STATS_REPORT; VISUALIZATION_RESULT,"TSV, TXT, PNG, PDF",,RNA
T036,survival_analysis,基于 WDL 1.0 和 Cromwell 的生存分析流程，用于评估指定基因突变状态与无进展生存期（PFS）的关系。 流程整合了突变提取、Log-rank 检验、Kaplan-Meier 曲线绘制及单因素 Cox 回归分析，最终生成汇总报告。,MUTATION_ANNOTATION_FORMAT_MAF; CLINICAL_DATA_EXCEL,"MAF, XLSX, TSV",CLINICAL_DATA_EXCEL; VISUALIZATION_RESULT; QC_STATS_REPORT,"TXT, PNG, PDF",,"Clinical, WES"
T037,tmb_survival_analysis,从MAF文件和临床数据计算病人级肿瘤突变负荷（TMB），按TMB中位数将病人分为高/低组， 进行Kaplan-Meier生存分析和log-rank检验，输出生存曲线、TMB分布图及统计结果表。 适用于肿瘤队列的预后分析场景。,MUTATION_ANNOTATION_FORMAT_MAF; CLINICAL_DATA_EXCEL,"MAF, XLSX",TABULAR_BIO_DATA; QC_STATS_REPORT; VISUALIZATION_RESULT,"TSV, JSON, PNG, PDF",,"Clinical, WES"
T038,wes_somatic_maf_landscape,本流程用于全外显子测序（WES）队列的体细胞突变景观分析。输入标准 MAF 文件，经过滤处理后绘制 Top N 突变基因 Oncoplot 及突变类型分布图。适用于癌症基因组学中的突变谱可视化与总结。,MUTATION_ANNOTATION_FORMAT_MAF,MAF,MUTATION_ANNOTATION_FORMAT_MAF; TABULAR_BIO_DATA; VISUALIZATION_RESULT,"MAF, TSV, PNG, PDF",,WES
T039,wgcna,基于基因表达矩阵和临床表型数据执行 WGCNA 共表达网络分析，包括样本 QC、模块识别、模块 - 性状关联、hub 基因筛选及 bootstrap 稳定性评估。 适用于转录组数据的系统性分析，输出模块划分结果、关键 hub 基因列表及功能富集分析结果。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL,"TSV, XLS, XLSX",TABULAR_BIO_DATA; VISUALIZATION_RESULT,"TAR, TSV, PNG, PDF",,"RNA, Clinical"
T040,bootstrap_stability,对聚类分析执行Bootstrap重采样，通过比较不同运行间的ARI/NMI评估聚类稳定性， 统计最佳K的频率，并利用标签置换零分布评估稳定性显著性。 输入为logCPM表达矩阵，输出包含稳定性指标、最佳K频率、置换检验P值及可视化图表。,,TSV,TABULAR_BIO_DATA; VISUALIZATION_RESULT,"TSV, PNG, PDF",,RNA
T041,breast_cellchat,基于CellChat方法分析乳腺癌单细胞转录组数据中的细胞间通讯网络。输入为Seurat格式的RDS文件，通过比较肿瘤与正常组织中的配体-受体互作，揭示肿瘤微环境中的细胞通讯变化。输出包括通讯网络分析结果、质控报告和运行日志。,SCRNA_OBJECT_RDS; REFERENCE_GENOME_FASTA,RDS,VISUALIZATION_RESULT; QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,"sc-RNA, RNA"
T042,celltype_case_control_de,对单细胞RNA-seq数据中指定的细胞类型进行病例-对照差异表达分析。输入为Seurat RDS文件，输出包括差异表达结果、分析摘要、质控报告等。适用于配对或非配对的病例-对照研究设计。,SCRNA_OBJECT_RDS; TABULAR_BIO_DATA; REFERENCE_GENOME_FASTA,RDS,QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,"sc-RNA, RNA"
T043,cnvkit_cnv_clinical,对肿瘤队列的配对肿瘤/正常 WGS 或 WES BAM 运行 CNVkit，生成样本级分段、离散拷贝数、scatter/diagram 图，并可选汇总高频基因 CNV 与临床分期及总生存的探索性关联。输入为样本ID、肿瘤/正常BAM/BAI数组，输出包括CNV分段文件、BED文件、可视化图以及临床关联分析结果。,DNA_GENOMIC_ALIGNMENT_BAM; TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL,"BAM, BAI, BED, TSV",VISUALIZATION_RESULT; TABULAR_BIO_DATA,"CNR, CNS, BED, PDF, TSV, SVG","GATK, CNVkit, survival","WGS, WES, Clinical"
T044,cox_model,整合基因表达矩阵与临床元数据，执行 Cox 比例风险回归分析和 Kaplan-Meier 生存曲线绘制。 支持自定义样本分组、生存时间/状态列映射，输出风险比、P 值及前 N 个显著基因。 适用于癌症预后标志物筛选和临床亚组生存差异分析场景。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T045,dataset_downstream,对单细胞RNA-seq数据集进行标准化下游分析，包括基因排序、细胞类型注释和恶性细胞标记。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果文件、运行摘要和质量控制报告。,SCRNA_OBJECT_RDS; TABULAR_BIO_DATA; REFERENCE_GENOME_FASTA,"RDS, TSV",QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,sc-RNA
T046,dataset_matrix_annotation,该流程用于对单细胞RNA-seq数据集进行矩阵注释和细胞类型标注。输入为Seurat RDS格式的整合数据文件，输出包括注释结果压缩包、运行摘要、输入质量控制报告和分析清单等文件。,SCRNA_OBJECT_RDS; TABULAR_BIO_DATA; REFERENCE_GENOME_FASTA,RDS,QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,sc-RNA
T047,de_enrichment,本流程整合 CNCB 元数据，执行差异表达分析并生成富集分析结果。支持自动样本分组、生存分析关联，输出火山图、热图及富集分析可视化。适用于具有临床元数据的 bulk RNA-seq 数据。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T048,deg_enrichment,本流程整合表达矩阵、样本元数据和临床信息，执行差异表达分析并生成火山图、热图及功能富集分析结果。 支持自动分组识别、生存分析关联，适用于批量 RNA-seq 数据的标准化差异表达与富集分析场景。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T049,deg_trend,本流程用于差异表达基因(DEG)的趋势分析与可视化。输入基因表达矩阵、样本元数据和临床信息，自动完成样本分组、差异分析，并生成火山图、热图、箱线图和趋势图等多种可视化结果。适用于批量 RNA-seq 数据的临床关联分析场景。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",VISUALIZATION_RESULT; QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T050,gene_boxplot,基于基因表达矩阵和临床元数据生成箱线图、火山图、热图等可视化结果。支持从 CNCB 原生格式元数据自动映射样本分组信息，可整合生存分析和肿瘤分期数据。适用于 bulk RNA-seq 数据的探索性可视化分析。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T051,gsea_pathway_enrichment,本流程基于limma moderated t统计量构建全基因排序，使用fgseaMultilevel执行预排序GSEA。 输入为表达矩阵和样本元数据，输出包括通路富集结果、显著通路、排序基因列表及可视化图表。 适用于病例-对照转录组比较分析，支持协变量校正和配对设计。,TABULAR_BIO_DATA,"TSV, {TSV, XLS, XLSX}, GMT, XLSX",TABULAR_BIO_DATA; VISUALIZATION_RESULT; QC_STATS_REPORT,"TSV, PDF, TXT",,RNA
T052,hvg_pca_gmm,从logCPM表达矩阵中筛选高变基因，执行PCA降维，并在候选K范围内拟合高斯混合模型（GMM），最终依据BIC选择最佳聚类数。输入为预处理后的logCPM矩阵，输出包括高变基因统计、PCA结果、GMM聚类指标及可视化图表。,,TSV,TABULAR_BIO_DATA; QC_STATS_REPORT; VISUALIZATION_RESULT,"TSV, TXT, PNG, PDF",,"sc-RNA, RNA"
T053,immunotherapy_cellchat,基于CellChat的免疫治疗细胞通讯分析流程。输入Seurat格式的单细胞RNA-seq数据，通过比较响应者与非响应者之间的细胞通讯网络差异，揭示免疫治疗相关的细胞间相互作用机制。输出包括通讯网络分析结果、质控报告和运行日志。,SCRNA_OBJECT_RDS; REFERENCE_GENOME_FASTA,RDS,VISUALIZATION_RESULT; QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,sc-RNA
T054,ipf_trajectory_regulon,对特发性肺纤维化(IPF)单细胞RNA-seq数据进行轨迹推断和调控子分析。输入为Seurat RDS对象，输出包括分析结果压缩包、运行摘要、质控报告和文件清单等。,SCRNA_OBJECT_RDS; METADATA_SAMPLEINFO; REFERENCE_GENOME_FASTA,RDS,QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,"sc-RNA, RNA"
T055,km_survival,整合基因表达矩阵与临床元数据，执行 Kaplan-Meier 生存分析和 Cox 比例风险模型。 支持样本分组、肿瘤分期过滤和生存数据验证，输出生存曲线及统计结果。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T056,lung_tme_annotation_cnv,基于单细胞RNA-seq数据对肺癌肿瘤微环境进行细胞类型注释和拷贝数变异(CNV)分析。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果包、运行摘要、质控报告和分析清单。,SCRNA_OBJECT_RDS; TABULAR_BIO_DATA; REFERENCE_GENOME_FASTA,"RDS, TSV",QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,sc-RNA
T057,preprocess_counts,对RNA-seq原始count矩阵执行样本质量控制、低表达基因过滤和logCPM标准化。 输入为基因ID为第一列、其余列为样本count值的TSV矩阵，输出标准化后的logCPM矩阵及QC统计文件。,TABULAR_BIO_DATA,TSV,TABULAR_BIO_DATA; QC_STATS_REPORT,"TSV, TXT",,RNA
T058,rmats_alternative_splicing,比较两组 bulk RNA-seq 数据中的差异剪接事件，覆盖 skipped exon（SE）、mutually exclusive exon（MXE）、 alternative 5'/3' splice site（A5SS/A3SS）和 retained intron（RI），并为代表性事件生成 sashimi plot。 流程从已比对 BAM 开始，不包含 FASTQ 质控和比对。,RNA_TRANSCRIPTOME_ALIGNMENT_BAM; REFERENCE_GENOME_FASTA,"BAM, BAI, GTF",DNA_GENOMIC_ALIGNMENT_BAM; TABULAR_BIO_DATA; QC_STATS_REPORT; VISUALIZATION_RESULT,"TSV, TXT, TAR, PDF","SAMtools, rMATS",RNA
T059,rnaseq_singletask,涵盖从原始测序数据到表达量定量的全流程分析，包括质控、去接头、rRNA 去除、比对、定量及报告生成。 适用于单样本或批量单任务提交场景，支持单端/双端测序数据自动识别。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; REFERENCE_GENOME_FASTA; RNASeqPipeline.rsem_index RSEM 索引目录; RNASeqPipeline.gtf_file 基因注释文件 (GTF 格式) *.gtf,"GTF, FASTQ",QC_STATS_REPORT; RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; DNA_GENOMIC_ALIGNMENT_BAM; RNA_TRANSCRIPTOME_ALIGNMENT_BAM; TABULAR_BIO_DATA,"HTML, ZIP, FQ, FASTQ, BAM, BAI, TXT, LOG","FastQC, Trim Galore, STAR, RSEM, featureCounts, MultiQC",RNA
T060,scrna_cell_communication,该流程整合 CellPhoneDB 和 NicheNet 进行单细胞转录组细胞通讯分析。输入为 Seurat RDS 对象或 h5ad 格式的表达矩阵及细胞元数据，输出包括样本级别的 CellPhoneDB 结果、差异通讯分析结果以及 NicheNet 配体-受体和配体-靶基因预测结果。支持 HRA000087 数据集的自动预处理模式。,TABULAR_BIO_DATA; SCRNA_OBJECT_RDS; METADATA_SAMPLEINFO,"H5AD, RDS, TSV",TABULAR_BIO_DATA; SCRNA_OBJECT_RDS; QC_STATS_REPORT; VISUALIZATION_RESULT,"H5AD, TSV, JSON, TXT, PDF","Seurat, CellPhoneDB, NicheNet","sc-RNA, RNA"
T061,stage_heatmap,本流程用于生成基于肿瘤分期的基因表达热图可视化。整合表达矩阵、元数据文件和临床信息文件，自动匹配样本信息并筛选目标分期样本，输出分期热图及样本映射报告。适用于 CNCB 等公共数据库来源的 bulk RNA-seq 数据可视化分析。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",VISUALIZATION_RESULT; QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T062,tcell_intervention,该流程用于对单细胞RNA-seq数据进行T细胞干预前后的比较分析。输入为Seurat RDS文件，通过指定细胞类型、时间点和患者信息等元数据列，进行差异表达分析，输出包括压缩的结果文件、运行摘要、质控报告和分析清单等。,SCRNA_OBJECT_RDS; TABULAR_BIO_DATA; METADATA_SAMPLEINFO; REFERENCE_GENOME_FASTA,RDS,QC_STATS_REPORT,"TAR, TXT, LOG, JSON",,"sc-RNA, RNA"
T063,umap,基于基因表达矩阵进行 UMAP 降维可视化分析，整合 CNCB 元数据和临床信息。 支持自动样本分组、生存分析数据提取，输出降维结果及样本信息报告。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS",VISUALIZATION_RESULT; QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T064,wes_somatic_pair,用于单个病人配对 tumor-normal WES 数据的体细胞变异分析流程。包含 FASTQ 质控、BWA 比对、Mutect2 变异检测、SnpEff 注释及 MultiQC 汇总报告。 输出包括过滤后的 VCF 文件、BAM 文件及完整的质控报告。,RAW_PAIRED_END_R1_FASTQ; RAW_PAIRED_END_R2_FASTQ; TARGET_INTERVAL_LIST; REFERENCE_GENOME_FASTA; DNA_VARIANT_VCF_GENERAL,"INTERVAL_LIST, FASTQ, VCF",DNA_GENOMIC_ALIGNMENT_BAM; DNA_VARIANT_VCF_GENERAL; DNA_VARIANT_INDEX_TBI; QC_STATS_REPORT,"BAM, BAI, VCF, TBI, HTML, CSV","Mutect2, BCFtools, SnpEff, FastQC, MultiQC","WGS, WES"
T065,wgcna_hub,基于 WGCNA 算法构建基因共表达网络，识别与表型性状相关的关键模块和 Hub 基因。 支持从 CNCB 等平台的原始元数据自动解析样本分组和临床信息，输出模块 - 性状关联、候选 Hub 基因列表及功能富集结果。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
T066,wgcna_module_trait,基于 WGCNA 算法构建基因共表达网络，识别功能模块并分析与临床性状的关联关系。 支持 GO/KEGG/Hallmark 富集分析、生存分析和 hub 基因筛选，适用于批量 RNA-seq 数据的系统生物学研究。,TABULAR_BIO_DATA; CLINICAL_DATA_EXCEL; METADATA_SAMPLEINFO,"TSV, XLSX, XLS, ZIP",QC_STATS_REPORT; TABULAR_BIO_DATA,"TAR, TXT, LOG, TSV, JSON",,"RNA, Clinical"
