identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target
io_slot:driver_gene_gender_analysis::in::maf,io_slot,,MAF with Hugo_Symbol Tumor_Sample_Barcode and Variant_Classification,input,,true,driver_gene_gender_analysis::in::maf,somatic_maf,driver_gene_gender_analysis,,File,,,,,maf,driver_gene_gender_analysis.maf
io_slot:driver_gene_gender_analysis::in::metainfo,io_slot,,MetaInfo workbook containing Individuals and samples plus Files sheets,input,,true,driver_gene_gender_analysis::in::metainfo,sample_metainfo,driver_gene_gender_analysis,,File,,,,,metainfo_xlsx,driver_gene_gender_analysis.metainfo_xlsx
io_slot:driver_gene_gender_analysis::out::figures,io_slot,,Bar oncoplot heatmap and volcano figures,output,,false,driver_gene_gender_analysis::out::figures,figures,driver_gene_gender_analysis,,File,,,,,,
io_slot:driver_gene_gender_analysis::out::matrix,io_slot,,Sample-by-gene binary mutation matrix,output,,false,driver_gene_gender_analysis::out::matrix,binary_mutation_matrix,driver_gene_gender_analysis,,File,,,,,,
io_slot:driver_gene_gender_analysis::out::statistics,io_slot,,Gender-stratified mutation frequency statistics,output,,false,driver_gene_gender_analysis::out::statistics,gender_mutation_statistics,driver_gene_gender_analysis,,File,,,,,,
io_slot:fastp::input::raw_fastq_read,IOSlot|io_slot,sister-tool-csv,Raw FASTQ,input,,false,fastp::input::raw_fastq_read,raw_fastq_read,fastp,raw_fastq_read,File,mate,r1,,raw_fastq_read_r1,,
io_slot:fastp::output::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,output,,false,fastp::output::clean_fastq_read,clean_fastq_read,fastp,clean_fastq_read,File,mate,r1,,clean_fastq_read_r1,,
io_slot:fastqc::input::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,input,fastq_reads,false,fastqc::input::clean_fastq_read,clean_fastq_read,fastqc,,File,,,,,,
io_slot:fastqc::input::raw_fastq_read,IOSlot|io_slot,sister-tool-csv,Raw FASTQ,input,fastq_reads,false,fastqc::input::raw_fastq_read,raw_fastq_read,fastqc,,File,,,,,,
io_slot:fastqc::output::quality_control_report,IOSlot|io_slot,qc-report-contract-fix-2026-07-22,Quality Control Report,output,,false,fastqc::output::quality_control_report,quality_control_report,fastqc,,File,,,,,,
io_slot:featurecounts::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,featurecounts::input::genome_annotation,genome_annotation,featurecounts,,File,,,,,,
io_slot:featurecounts::input::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,input,,true,featurecounts::input::sorted_dedup_bam,sorted_dedup_bam,featurecounts,,File,,,,,,
io_slot:featurecounts::output::expression_count_matrix,IOSlot|io_slot,sister-tool-csv,Raw Counts,output,,false,featurecounts::output::expression_count_matrix,expression_count_matrix,featurecounts,,File,,,,,,
io_slot:gatk::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,gatk::input::genome_annotation,genome_annotation,gatk,,File,,,,,,
io_slot:gatk::input::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,input,,false,gatk::input::sorted_dedup_bam,sorted_dedup_bam,gatk,sorted_dedup_bam,File,,,single,,,
io_slot:gatk::output::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,output,,false,gatk::output::sorted_dedup_bam,sorted_dedup_bam,gatk,,File,,,,,,
io_slot:gatk::output::unfiltered_vcf,IOSlot|io_slot,sister-tool-csv,Unfiltered VCF,output,,false,gatk::output::unfiltered_vcf,unfiltered_vcf,gatk,,File,,,,,,
io_slot:her2_pfs_survival::in::clinical,io_slot,,Clinical table containing PFS fields,input,,true,her2_pfs_survival::in::clinical,clinical_survival,her2_pfs_survival,,File,,,,,clinical_xls,her2_pfs_survival.clinical_xls
io_slot:her2_pfs_survival::in::expression,io_slot,,TPM matrix with Run accessions as sample columns,input,,true,her2_pfs_survival::in::expression,tpm_matrix,her2_pfs_survival,,File,,,,,tpm_matrix,her2_pfs_survival.tpm_matrix
io_slot:her2_pfs_survival::in::metainfo,io_slot,,Sample and Run accession mapping,input,,true,her2_pfs_survival::in::metainfo,sample_metainfo,her2_pfs_survival,,File,,,,,metainfo_xlsx,her2_pfs_survival.metainfo_xlsx
io_slot:her2_pfs_survival::out::figures,io_slot,,Kaplan-Meier figures,output,,false,her2_pfs_survival::out::figures,km_figures,her2_pfs_survival,,File,,,,,,
io_slot:her2_pfs_survival::out::statistics,io_slot,,Log-rank and analysis tables,output,,false,her2_pfs_survival::out::statistics,pfs_statistics,her2_pfs_survival,,File,,,,,,
io_slot:her2_pfs_survival::out::summary,io_slot,,Analysis and QC summary,output,,false,her2_pfs_survival::out::summary,summary,her2_pfs_survival,,File,,,,,,
io_slot:immune_infiltration_iobr::in::clinical,io_slot,,Clinical annotation table,input,,true,immune_infiltration_iobr::in::clinical,clinical_table,immune_infiltration_iobr,,File,,,,,clinical_xls,ImmuneInfiltrationIOBRCIBERSORT.clinical_xls
io_slot:immune_infiltration_iobr::in::expression,io_slot,,TPM matrix used by IOBR CIBERSORT,input,,true,immune_infiltration_iobr::in::expression,tpm_matrix,immune_infiltration_iobr,,File,,,,,expression_tsv,ImmuneInfiltrationIOBRCIBERSORT.expression_tsv
io_slot:immune_infiltration_iobr::in::metainfo,io_slot,,Sample and Run accession mapping,input,,true,immune_infiltration_iobr::in::metainfo,sample_metainfo,immune_infiltration_iobr,,File,,,,,metainfo_xlsx,ImmuneInfiltrationIOBRCIBERSORT.metainfo_xlsx
io_slot:immune_infiltration_iobr::out::figures,io_slot,,Stacked bar box heatmap and correlation figures,output,,false,immune_infiltration_iobr::out::figures,figures,immune_infiltration_iobr,,File,,,,,,
io_slot:immune_infiltration_iobr::out::fractions,io_slot,,CIBERSORT immune fractions,output,,false,immune_infiltration_iobr::out::fractions,immune_fractions,immune_infiltration_iobr,,File,,,,,,
io_slot:immune_infiltration_iobr::out::qc,io_slot,,Status reliability and warning reports,output,,false,immune_infiltration_iobr::out::qc,quality_control,immune_infiltration_iobr,,File,,,,,,
io_slot:multiqc::input::quality_control_report,IOSlot|io_slot,qc-report-contract-fix-2026-07-22,Quality Control Report,input,,false,multiqc::input::quality_control_report,quality_control_report,multiqc,,File,,,,,,
io_slot:multiqc::output::quality_control_report,IOSlot|io_slot,qc-report-contract-fix-2026-07-22,Quality Control Report,output,,false,multiqc::output::quality_control_report,quality_control_report,multiqc,,File,,,,,,
io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,io_slot,,Paired-end Read 1 FASTQ,input,,true,paired_fastq_to_unmapped_bam::in::fastq_1,fastq_1,paired_fastq_to_unmapped_bam,,File,,,,,,
io_slot:paired_fastq_to_unmapped_bam::in::fastq_2,io_slot,,Paired-end Read 2 FASTQ from the same sample,input,,true,paired_fastq_to_unmapped_bam::in::fastq_2,fastq_2,paired_fastq_to_unmapped_bam,,File,,,,,,
io_slot:paired_fastq_to_unmapped_bam::out::bam,io_slot,,Unmapped BAM with read-group metadata,output,,false,paired_fastq_to_unmapped_bam::out::bam,unmapped_bam,paired_fastq_to_unmapped_bam,,File,,,,,,
io_slot:paired_fastq_to_unmapped_bam::out::list,io_slot,,Optional uBAM file list,output,,false,paired_fastq_to_unmapped_bam::out::list,file_list,paired_fastq_to_unmapped_bam,,File,,,,,,
io_slot:rnaseq_singletask::input::fastq_1,IOSlot|io_slot,sister-task-pipeline,fastq_1,input,,true,rnaseq_singletask::input::fastq_1,fastq_1,rnaseq_singletask,,File,,,,,sample_r1,RNASeqPipeline.sample_r1
io_slot:rnaseq_singletask::input::fastq_2,IOSlot|io_slot,sister-task-pipeline,fastq_2,input,,true,rnaseq_singletask::input::fastq_2,fastq_2,rnaseq_singletask,,File,,,,,sample_r2,RNASeqPipeline.sample_r2
io_slot:rnaseq_singletask::input::gtf_file,IOSlot|io_slot,sister-task-pipeline,gtf_file,input,,true,rnaseq_singletask::input::gtf_file,gtf_file,rnaseq_singletask,,File,,,,,gtf_file,RNASeqPipeline.gtf_file
io_slot:rnaseq_singletask::input::rrna_star_index,IOSlot|io_slot,sister-task-pipeline,rrna_star_index,input,,true,rnaseq_singletask::input::rrna_star_index,rrna_star_index,rnaseq_singletask,,File,,,,,rrna_star_index,RNASeqPipeline.rrna_star_index
io_slot:rnaseq_singletask::input::rsem_index,IOSlot|io_slot,sister-task-pipeline,rsem_index,input,,true,rnaseq_singletask::input::rsem_index,rsem_index,rnaseq_singletask,,File,,,,,rsem_index,RNASeqPipeline.rsem_index
io_slot:rnaseq_singletask::input::star_genome_index,IOSlot|io_slot,sister-task-pipeline,star_genome_index,input,,true,rnaseq_singletask::input::star_genome_index,star_genome_index,rnaseq_singletask,,File,,,,,star_genome_index,RNASeqPipeline.star_genome_index
io_slot:rnaseq_singletask::output::aligned_bam,IOSlot|io_slot,sister-task-pipeline,aligned_bam,output,,false,rnaseq_singletask::output::aligned_bam,aligned_bam,rnaseq_singletask,,File,,,,,,
io_slot:rnaseq_singletask::output::count_matrix,IOSlot|io_slot,sister-task-pipeline,count_matrix,output,,false,rnaseq_singletask::output::count_matrix,count_matrix,rnaseq_singletask,,File,,,,,,
io_slot:rnaseq_singletask::output::expression_matrix,IOSlot|io_slot,sister-task-pipeline,expression_matrix,output,,false,rnaseq_singletask::output::expression_matrix,expression_matrix,rnaseq_singletask,,File,,,,,,
io_slot:rnaseq_singletask::output::quality_control,IOSlot|io_slot,sister-task-pipeline,quality_control,output,,false,rnaseq_singletask::output::quality_control,quality_control,rnaseq_singletask,,File,,,,,,
io_slot:rnaseq_unsupervised_cluster::in::counts,io_slot,,Raw RNA-seq count matrix without NA rows,input,,true,rnaseq_unsupervised_cluster::in::counts,count_matrix,rnaseq_unsupervised_cluster,,File,,,,,count_tsv,rnaseq_unsupervised_cluster.count_tsv
io_slot:rnaseq_unsupervised_cluster::out::assignments,io_slot,,GMM soft and hard cluster assignments,output,,false,rnaseq_unsupervised_cluster::out::assignments,cluster_assignments,rnaseq_unsupervised_cluster,,File,,,,,,
io_slot:rnaseq_unsupervised_cluster::out::figures,io_slot,,Cluster selection and stability figures,output,,false,rnaseq_unsupervised_cluster::out::figures,figures,rnaseq_unsupervised_cluster,,File,,,,,,
io_slot:rnaseq_unsupervised_cluster::out::stability,io_slot,,Bootstrap ARI NMI and p-value tables,output,,false,rnaseq_unsupervised_cluster::out::stability,cluster_stability,rnaseq_unsupervised_cluster,,File,,,,,,
io_slot:rsem::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,rsem::input::genome_annotation,genome_annotation,rsem,,File,,,,,,
io_slot:rsem::input::transcriptome_bam,IOSlot|io_slot,sister-tool-csv,Transcriptome BAM,input,,true,rsem::input::transcriptome_bam,transcriptome_bam,rsem,,File,,,,,,
io_slot:rsem::output::expression_abundance_matrix,IOSlot|io_slot,sister-tool-csv,TPM / FPKM,output,,false,rsem::output::expression_abundance_matrix,expression_abundance_matrix,rsem,,File,,,,,,
io_slot:samtools::input::aligned_bam,IOSlot|io_slot,bam-artifact-contract-fix-2026-07-22,Aligned SAM/BAM,input,,true,samtools::input::aligned_bam,aligned_bam,samtools,,File,,,,,,
io_slot:samtools::output::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,output,,false,samtools::output::sorted_dedup_bam,sorted_dedup_bam,samtools,,File,,,,,,
io_slot:snpeff::input::filtered_vcf,IOSlot|io_slot,sister-tool-csv,Filtered (PASS) VCF,input,,true,snpeff::input::filtered_vcf,filtered_vcf,snpeff,,File,,,,,,
io_slot:snpeff::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,snpeff::input::genome_annotation,genome_annotation,snpeff,,File,,,,,,
io_slot:snpeff::output::annotated_vcf,IOSlot|io_slot,sister-tool-csv,Annotated VCF,output,,false,snpeff::output::annotated_vcf,annotated_vcf,snpeff,,File,,,,,,
io_slot:star::input::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,input,,true,star::input::clean_fastq_read,clean_fastq_read,star,,File,,,,,,
io_slot:star::input::genome_annotation,IOSlot|io_slot,sister-tool-csv,Genome Annotation,input,,true,star::input::genome_annotation,genome_annotation,star,,File,,,,,,
io_slot:star::output::aligned_bam,IOSlot|io_slot,bam-artifact-contract-fix-2026-07-22,Genome-aligned BAM from STAR,output,,false,star::output::aligned_bam,aligned_bam,star,,File,,,,,,
io_slot:star::output::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,output,,false,star::output::clean_fastq_read,clean_fastq_read,star,,File,,,,,,
io_slot:star::output::transcriptome_bam,IOSlot|io_slot,sister-tool-csv,Transcriptome BAM,output,,false,star::output::transcriptome_bam,transcriptome_bam,star,,File,,,,,,
io_slot:survival_analysis::in::clinical,io_slot,,Clinical survival table with patient ID time and status,input,,true,survival_analysis::in::clinical,clinical_survival,survival_analysis,,File,,,,,clinical_file,SurvivalAnalysis.clinical_file
io_slot:survival_analysis::in::maf,io_slot,,MAF with Run accessions,input,,true,survival_analysis::in::maf,somatic_maf,survival_analysis,,File,,,,,maf_file,SurvivalAnalysis.maf_file
io_slot:survival_analysis::in::metainfo,io_slot,,Individual Sample Run mapping workbook,input,,true,survival_analysis::in::metainfo,sample_metainfo,survival_analysis,,File,,,,,metainfo_file,SurvivalAnalysis.metainfo_file
io_slot:survival_analysis::out::figures,io_slot,,Kaplan-Meier figures,output,,false,survival_analysis::out::figures,km_figures,survival_analysis,,File,,,,,,
io_slot:survival_analysis::out::statistics,io_slot,,Log-rank Cox and merged result tables,output,,false,survival_analysis::out::statistics,survival_statistics,survival_analysis,,File,,,,,,
io_slot:tmb_survival_analysis::in::clinical,io_slot,,Clinical table with Survival_Time and Vital Status,input,,true,tmb_survival_analysis::in::clinical,clinical_survival,tmb_survival_analysis,,File,,,,,clinical_file,TMBSurvivalAnalysis.clinical_file
io_slot:tmb_survival_analysis::in::maf,io_slot,,Somatic MAF with Tumor_Sample_Barcode,input,,true,tmb_survival_analysis::in::maf,somatic_maf,tmb_survival_analysis,,File,,,,,maf_file,TMBSurvivalAnalysis.maf_file
io_slot:tmb_survival_analysis::in::metainfo,io_slot,,Individual Sample Run mapping workbook,input,,true,tmb_survival_analysis::in::metainfo,sample_metainfo,tmb_survival_analysis,,File,,,,,metainfo_file,TMBSurvivalAnalysis.metainfo_file
io_slot:tmb_survival_analysis::out::figures,io_slot,,KM histogram and boxplot figures,output,,false,tmb_survival_analysis::out::figures,figures,tmb_survival_analysis,,File,,,,,,
io_slot:tmb_survival_analysis::out::statistics,io_slot,,Log-rank and analysis report,output,,false,tmb_survival_analysis::out::statistics,survival_statistics,tmb_survival_analysis,,File,,,,,,
io_slot:tmb_survival_analysis::out::tmb,io_slot,,Per-patient TMB table,output,,false,tmb_survival_analysis::out::tmb,patient_tmb,tmb_survival_analysis,,File,,,,,,
io_slot:trim_galore::input::raw_fastq_read,IOSlot|io_slot,sister-tool-csv,Raw FASTQ,input,,true,trim_galore::input::raw_fastq_read,raw_fastq_read,trim_galore,,File,,,,,,
io_slot:trim_galore::output::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,output,,false,trim_galore::output::clean_fastq_read,clean_fastq_read,trim_galore,,File,,,,,,
io_slot:wes_somatic_maf_landscape::in::maf,io_slot,,Standard somatic MAF,input,,true,wes_somatic_maf_landscape::in::maf,somatic_maf,wes_somatic_maf_landscape,,File,,,,,maf_file,wes_somatic_maf_landscape.maf_file
io_slot:wes_somatic_maf_landscape::out::figures,io_slot,,Oncoplot gene frequency and mutation type figures,output,,false,wes_somatic_maf_landscape::out::figures,landscape_figures,wes_somatic_maf_landscape,,File,,,,,,
io_slot:wes_somatic_maf_landscape::out::maf,io_slot,,Filtered somatic MAF preserving MAF semantics,output,,false,wes_somatic_maf_landscape::out::maf,filtered_maf,wes_somatic_maf_landscape,,File,,,,,,
io_slot:wes_somatic_maf_landscape::out::statistics,io_slot,,Gene frequency mutation type and sample summaries,output,,false,wes_somatic_maf_landscape::out::statistics,mutation_statistics,wes_somatic_maf_landscape,,File,,,,,,
io_slot:wgcna::in::clinical,io_slot,,Clinical phenotype table containing grade and gender,input,,true,wgcna::in::clinical,clinical_table,wgcna,,File,,,,,clinical_xls,HRA000074_WGCNA.clinical_xls
io_slot:wgcna::in::counts,io_slot,,Raw gene count matrix processed with DESeq2 VST,input,,true,wgcna::in::counts,count_matrix,wgcna,,File,,,,,counts_tsv,HRA000074_WGCNA.counts_tsv
io_slot:wgcna::in::metainfo,io_slot,,Individual Sample Run mapping workbook,input,,true,wgcna::in::metainfo,sample_metainfo,wgcna,,File,,,,,metainfo_xlsx,HRA000074_WGCNA.metainfo_xlsx
io_slot:wgcna::out::archives,io_slot,,Prepare and analysis result archives,output,,false,wgcna::out::archives,archives,wgcna,,File,,,,,,
io_slot:wgcna::out::figures,io_slot,,WGCNA preparation and analysis figures,output,,false,wgcna::out::figures,figures,wgcna,,File,,,,,,
io_slot:wgcna::out::hub_genes,io_slot,,Stable and all hub genes,output,,false,wgcna::out::hub_genes,hub_genes,wgcna,,File,,,,,,
io_slot:wgcna::out::modules,io_slot,,Module and module-trait results,output,,false,wgcna::out::modules,module_results,wgcna,,File,,,,,,
io_slot:wgcna::out::qc,io_slot,,QC and trait matrix tables,output,,false,wgcna::out::qc,quality_control,wgcna,,File,,,,,,
io_slot:fastp::input::raw_fastq_read_r1,IOSlot|io_slot,slot-model-fix-2026-07-24,raw_fastq_read_r1,input,,false,fastp::input::raw_fastq_read_r1,raw_fastq_read_r1,fastp,raw_fastq_read,File,mate,r1,single_end|paired_end,,,
io_slot:fastp::input::raw_fastq_read_r2,IOSlot|io_slot,slot-model-fix-2026-07-24,raw_fastq_read_r2,input,,false,fastp::input::raw_fastq_read_r2,raw_fastq_read_r2,fastp,raw_fastq_read,File,mate,r2,paired_end,,,
io_slot:fastp::output::clean_fastq_read_r1,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r1,output,,false,fastp::output::clean_fastq_read_r1,clean_fastq_read_r1,fastp,clean_fastq_read,File,mate,r1,,,,
io_slot:fastp::output::clean_fastq_read_r2,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r2,output,,false,fastp::output::clean_fastq_read_r2,clean_fastq_read_r2,fastp,clean_fastq_read,File,mate,r2,,,,
io_slot:bwa::input::clean_fastq_read_r1,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r1,input,,false,bwa::input::clean_fastq_read_r1,clean_fastq_read_r1,bwa,clean_fastq_read,File,mate,r1,,,,
io_slot:bwa::input::clean_fastq_read_r2,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r2,input,,false,bwa::input::clean_fastq_read_r2,clean_fastq_read_r2,bwa,clean_fastq_read,File,mate,r2,,,,
io_slot:samtools::output::bai,IOSlot|io_slot,slot-model-fix-2026-07-24,bai,output,,false,samtools::output::bai,bai,samtools,bai,File,sample_role,inherit,,,,
io_slot:gatk::input::tumor_bam,IOSlot|io_slot,slot-model-fix-2026-07-24,tumor_bam,input,,false,gatk::input::tumor_bam,tumor_bam,gatk,sorted_dedup_bam,File,sample_role,tumor,paired,,,
io_slot:gatk::input::tumor_bai,IOSlot|io_slot,slot-model-fix-2026-07-24,tumor_bai,input,,false,gatk::input::tumor_bai,tumor_bai,gatk,bai,File,sample_role,tumor,paired,,,
io_slot:gatk::input::normal_bam,IOSlot|io_slot,slot-model-fix-2026-07-24,normal_bam,input,,false,gatk::input::normal_bam,normal_bam,gatk,sorted_dedup_bam,File,sample_role,normal,paired,,,
io_slot:gatk::input::normal_bai,IOSlot|io_slot,slot-model-fix-2026-07-24,normal_bai,input,,false,gatk::input::normal_bai,normal_bai,gatk,bai,File,sample_role,normal,paired,,,
io_slot:gatk::input::interval_list,IOSlot|io_slot,slot-model-fix-2026-07-24,interval_list,input,,true,gatk::input::interval_list,interval_list,gatk,interval_list,File,,,,,,
