function,description
人类基因 ID 和基因符号映射,"利用 AnnotationDbi 和 org.Hs.eg.db 数据库，提供人类基因多种标识符（如 Ensembl ID, Entrez ID, Gene Symbol, RefSeq ID）之间的一对一或一对多快速查询与映射。"
TMM 标准化、CPM 计算和低表达过滤,采用 Trimmed Mean of M-values（TMM）算法计算文库大小因子对 Raw Counts 进行归一化，过滤在绝大多数样本中低表达或不表达的基因，并计算 Counts Per Million（CPM）值。
高斯混合模型聚类及聚类一致性评估,"采用高斯混合模型（Gaussian Mixture Model, GMM）对高维数据（如 PCA 载荷矩阵）进行无监督概率聚类，利用 BIC/AIC 准则选择最佳聚类数，并进行样本亚型分类和稳定性评估。"
从 bulk RNA-seq 数据估算免疫细胞比例,基于已知免疫细胞特征基因集（Signature Matrix）和去卷积/单样本富集算法（如 CIBERSORT、EPIC、xCell 等），从组织 Bulk RNA-seq 表达谱中计算多种免疫细胞和基质细胞的相对或绝对丰度。
Kaplan–Meier、生存曲线、Log-rank 及 Cox 回归,评估基因表达量、突变状态或临床特征对患者生存期（如 OS、PFS）的影响，绘制 Kaplan–Meier 生存曲线，执行 Log-rank 检验计算显著性，并拟合单因素或多因素 Cox 比例风险回归模型。
HER2 表达异常样本识别,采用基于密度的聚类算法（DBSCAN）对样本中 HER2（ERBB2）基因的表达值分布进行离群点检测，自动识别出表达量显著高于或低于群体的离群异常样本（Outliers）。
MAF 突变景观分析和 Oncoplot 绘制,对 MAF 格式的体细胞突变数据进行统计与分析，计算突变频谱（Transition/Transversion）、每个样本的突变载量，并绘制展示高频突变基因及其突变类型的瀑布图（Oncoplot/Waterfall plot）。
Count 数据方差稳定化转换,针对高通量 Counts 数据的泊松-负二项分布特性，利用 DESeq2 的 Variance Stabilizing Transformation（VST）或 rlog 方法进行方差齐性转换，生成适用于 PCA、聚类和热图展示的连续数值表达矩阵。
共表达网络构建、模块识别、性状关联和 Hub 基因筛选,基于加权基因共表达网络分析（WGCNA）原理，计算基因间相关性及无尺度网络拓扑矩阵，划分高度共表达的基因模块，分析模块与临床性状（如分期、性别、预后）的相关性并筛选核心 Hub 基因。
蛋白互作网络获取、构建和分析,从 STRING 蛋白质相互作用数据库提取目标基因的互作关系，结合 igraph 构建蛋白质互作网络（PPI Network），计算节点度（Degree）、介数（Betweenness）等拓扑特征，识别核心网络模块。
基于 COSMIC 驱动基因进行男女差异分析,整合 COSMIC 数据库中的已知癌症驱动基因列表，对不同性别（男 vs 女）样本的体细胞突变频率进行卡方检验或 Fisher 精确检验，筛选具有显著性别偏向性的驱动突变基因。
样本映射、非同义突变筛选、病人级去重及 TMB 计算,"将 MAF 文件与样本/病人临床信息映射，筛选外显子区域的非同义突变（如错义、无义、移码突变），对多区域/多样本测序进行患者层面的去重处理，根据有效外显子覆盖大小（如 38Mb）计算每兆碱基的肿瘤突变负荷（TMB, Mutations/Mb）。"
差异分析及 GO 富集,"一站式执行表达矩阵（如 TPM/FPKM/Counts）的组间差异表达分析（计算 FC 和 p-value），并对筛选出的差异基因自动进行 Gene Ontology（GO）三要素（BP, CC, MF）功能富集分析。"
差异分析及通路富集,一站式执行组间差异表达分析，并结合 KEGG、Reactome 等经典通路数据库，对差异基因进行生物学通路富集分析与可视化展示。
驱动基因性别分层分析,结合突变 MAF 数据与临床元数据，按性别进行分层，分析在不同性别子集中的驱动基因突变谱、突变频率差异及功能影响分布。
表达与生存关联分析,结合特定基因（如 HER2、免疫检查点基因等）的表达量数值与临床生存随访数据，按照中位数/最佳截断值（Best Cutoff）划分高低表达组，评估基因表达对无进展生存期（PFS）或总生存期（OS）的预测价值。
免疫浸润估计,利用 Bulk RNA-seq 的基因表达数据，通过免疫浸润计算算法推算肿瘤微环境中各类免疫细胞（如 T 细胞、B 细胞、巨噬细胞、NK 细胞等）的相对丰度或浸润得分。
FASTQ 转 uBAM,将原始 FASTQ 测序数据（包含 Reads 序列及 Quality scores）格式化转换为符合 SAM/BAM 规范但无基因组位置信息的未比对 BAM（unmapped BAM / uBAM），保留比对前原始数据及元信息。
无监督聚类分析,对 RNA-seq 表达数据（如 Raw Counts、TPM、VST 转换值）应用层次聚类、K-means、PCA 或 UMAP 等无监督降维与聚类方法，识别表达谱相似的样本群体或亚型。
突变与生存关联,将体细胞突变状态（如突变型 vs 野生型）与患者生存终点事件及随访时间相结合，进行 Log-rank 检验和 Kaplan–Meier 生存曲线绘制，分析特定基因突变对预后的影响。
TMB 与生存分析,计算或获取样本的肿瘤突变负荷（TMB），根据划分标准（如 Top 20%、高/低 TMB 阈值）将患者分组，分析 TMB 高低与免疫治疗响应或生存预后的相关性。
体细胞突变景观分析,对总体或队列体细胞突变数据进行全面总结，展示突变频谱、变异分类、基因突变频率分布、共发生/互斥突变分析以及突变特征（Mutational Signatures）。
加权共表达网络构建,基于计算基因间的相关性系数矩阵及其加权邻接矩阵，构建无尺度加权基因共表达网络，用于后续模块识别及基因间调控关系分析。
对双端测序FASTQ文件进行质量过滤、接头修剪和质控报告生成。输入为样本ID和双端FASTQ文件，输出为修剪后的FASTQ文件以及HTML和JSON格式的质控报告。适用于WES等双端测序数据的预处理步骤。,对双端测序FASTQ文件进行质量过滤、接头修剪和质控报告生成。输入为样本ID和双端FASTQ文件，输出为修剪后的FASTQ文件以及HTML和JSON格式的质控报告。适用于WES等双端测序数据的预处理步骤。
对输入的 FASTQ 文件进行质量评估，生成 HTML 和 ZIP 格式的 FastQC 报告。 适用于 WES、WGS、RNA-seq 和单细胞测序等多种测序数据类型，可接收原始或修剪后的 FASTQ 文件。,对输入的 FASTQ 文件进行质量评估，生成 HTML 和 ZIP 格式的 FastQC 报告。 适用于 WES、WGS、RNA-seq 和单细胞测序等多种测序数据类型，可接收原始或修剪后的 FASTQ 文件。
基于 10x Genomics CellRanger 的单细胞 RNA 测序数据分析流程。 包含 FASTQ 质控、序列比对、基因表达定量及结果可视化，适用于 10x Chromium 平台产生的单细胞转录组数据。,基于 10x Genomics CellRanger 的单细胞 RNA 测序数据分析流程。 包含 FASTQ 质控、序列比对、基因表达定量及结果可视化，适用于 10x Chromium 平台产生的单细胞转录组数据。
基于 Trim Galore 工具的 FASTQ 文件接头修剪与质量控制流程。支持单端和双端测序数据，可指定接头序列，输出修剪后的 FASTQ 文件和修剪报告。,基于 Trim Galore 工具的 FASTQ 文件接头修剪与质量控制流程。支持单端和双端测序数据，可指定接头序列，输出修剪后的 FASTQ 文件和修剪报告。
该流程使用 STAR 比对工具对 RNA-seq 数据进行 rRNA 去除和基因组比对。流程包含两个步骤：首先将 reads 比对到 rRNA 参考索引以去除 rRNA 污染，然后将未比对的 reads 比对到基因组参考索引，输出未排序的基因组 BAM、转录组 BAM、基因计数文件和日志。,该流程使用 STAR 比对工具对 RNA-seq 数据进行 rRNA 去除和基因组比对。流程包含两个步骤：首先将 reads 比对到 rRNA 参考索引以去除 rRNA 污染，然后将未比对的 reads 比对到基因组参考索引，输出未排序的基因组 BAM、转录组 BAM、基因计数文件和日志。
基于 BWA-MEM 算法的双端测序比对流程。输入为 R1/R2 FASTQ 文件和样本 ID， 输出为未排序的 SAM 文件及 BWA 运行日志。适用于全外显子组测序数据的比对步骤， 后续需配合 SAMtools 完成排序和索引。,基于 BWA-MEM 算法的双端测序比对流程。输入为 R1/R2 FASTQ 文件和样本 ID， 输出为未排序的 SAM 文件及 BWA 运行日志。适用于全外显子组测序数据的比对步骤， 后续需配合 SAMtools 完成排序和索引。
基于SAMtools工具集的比对后处理流程，支持对BAM文件进行排序、索引、去重及多种比对统计。 适用于WES/WGS和RNA-seq数据，通过remove_duplicates参数切换普通排序/去重模式。,基于SAMtools工具集的比对后处理流程，支持对BAM文件进行排序、索引、去重及多种比对统计。 适用于WES/WGS和RNA-seq数据，通过remove_duplicates参数切换普通排序/去重模式。
基于 GATK 最佳实践的全外显子组（WES）肿瘤-正常配对体细胞变异检测流程。 流程对肿瘤和正常样本分别进行 MarkDuplicates 标记重复、BaseRecalibrator 碱基质量校正， 然后使用 Mutect2 进行体细胞变异检测，并通过 FilterMutectCalls 进行过滤， 同时评估样本污染和构建读段方向偏倚模型。,基于 GATK 最佳实践的全外显子组（WES）肿瘤-正常配对体细胞变异检测流程。 流程对肿瘤和正常样本分别进行 MarkDuplicates 标记重复、BaseRecalibrator 碱基质量校正， 然后使用 Mutect2 进行体细胞变异检测，并通过 FilterMutectCalls 进行过滤， 同时评估样本污染和构建读段方向偏倚模型。
对 GATK 过滤后的体细胞 VCF 文件进行后处理，包括提取 PASS 位点、基于参考基因组进行左对齐和拆分多等位基因位点、建立 Tabix 索引，并生成详细的 QC 统计文件（记录数、SNP/Indel 计数、FILTER 分布、DP/AF 等）。输出可直接用于 SnpEff 注释。,对 GATK 过滤后的体细胞 VCF 文件进行后处理，包括提取 PASS 位点、基于参考基因组进行左对齐和拆分多等位基因位点、建立 Tabix 索引，并生成详细的 QC 统计文件（记录数、SNP/Indel 计数、FILTER 分布、DP/AF 等）。输出可直接用于 SnpEff 注释。
基于 SnpEff 工具对 VCF 文件进行变异效应注释的独立流程。输入为未压缩或压缩的 VCF 文件，输出包含注释后的 VCF、HTML/CSV 格式的统计报告以及运行日志。适用于 WES/WGS 体细胞或胚系突变的生物学效应预测。,基于 SnpEff 工具对 VCF 文件进行变异效应注释的独立流程。输入为未压缩或压缩的 VCF 文件，输出包含注释后的 VCF、HTML/CSV 格式的统计报告以及运行日志。适用于 WES/WGS 体细胞或胚系突变的生物学效应预测。
该流程基于 RSEM 工具，接收 STAR 比对生成的转录组 BAM 文件和 RSEM 索引，进行基因和转录本水平的表达定量分析。 输入为转录组 BAM 文件和 RSEM 索引目录，输出包括基因表达量结果、转录本表达量结果、统计文件和运行日志。,该流程基于 RSEM 工具，接收 STAR 比对生成的转录组 BAM 文件和 RSEM 索引，进行基因和转录本水平的表达定量分析。 输入为转录组 BAM 文件和 RSEM 索引目录，输出包括基因表达量结果、转录本表达量结果、统计文件和运行日志。
该流程使用 featureCounts 工具对 RNA-seq 比对后的 BAM 文件进行基因水平计数。 输入为最终 BAM 文件和 GTF 注释文件，输出为基因计数矩阵、统计摘要和运行日志。 适用于 RNA-seq 定量分析中的基因表达计数步骤。,该流程使用 featureCounts 工具对 RNA-seq 比对后的 BAM 文件进行基因水平计数。 输入为最终 BAM 文件和 GTF 注释文件，输出为基因计数矩阵、统计摘要和运行日志。 适用于 RNA-seq 定量分析中的基因表达计数步骤。
接收任意数量的上游质控文件（如 FastQC、fastp、SAMtools、BCFtools、SnpEff 等）， 生成交互式 MultiQC HTML 汇总报告及实际使用的配置文件。适用于 WES、WGS、RNA-seq 等流程。,接收任意数量的上游质控文件（如 FastQC、fastp、SAMtools、BCFtools、SnpEff 等）， 生成交互式 MultiQC HTML 汇总报告及实际使用的配置文件。适用于 WES、WGS、RNA-seq 等流程。
基于表达矩阵进行差异基因分析（limma）并针对上下调基因分别进行 GO 功能富集（clusterProfiler）。 适用于 FPKM/TPM 定量数据的两组比较场景，输出差异基因列表及 GO 富集结果表。,基于表达矩阵进行差异基因分析（limma）并针对上下调基因分别进行 GO 功能富集（clusterProfiler）。 适用于 FPKM/TPM 定量数据的两组比较场景，输出差异基因列表及 GO 富集结果表。
基于 limma 包进行两组样本差异表达分析，并使用 ReactomePA 对上下调基因进行通路富集。 适用于人类基因表达矩阵（FPKM/TPM），输出差异基因列表及富集结果。,基于 limma 包进行两组样本差异表达分析，并使用 ReactomePA 对上下调基因进行通路富集。 适用于人类基因表达矩阵（FPKM/TPM），输出差异基因列表及富集结果。
该流程基于 WES MAF 文件、临床表和 MetaInfo 表，对驱动基因的突变频率进行性别分层分析。 通过卡方检验比较男性和女性样本中每个驱动基因的突变率，并输出统计结果表、诊断表及多种可视化图表（分组柱状图、瀑布图、热图、火山图）。,该流程基于 WES MAF 文件、临床表和 MetaInfo 表，对驱动基因的突变频率进行性别分层分析。 通过卡方检验比较男性和女性样本中每个驱动基因的突变率，并输出统计结果表、诊断表及多种可视化图表（分组柱状图、瀑布图、热图、火山图）。
基于 TPM 表达矩阵、临床信息及样本元信息，分析特定基因（默认 HER2）表达水平与无进展生存期（PFS）的关联。 流程自动匹配样本 accession，执行 Winsorizing 处理，生成 KM 生存曲线、Logrank 统计量及质量控制报告。,基于 TPM 表达矩阵、临床信息及样本元信息，分析特定基因（默认 HER2）表达水平与无进展生存期（PFS）的关联。 流程自动匹配样本 accession，执行 Winsorizing 处理，生成 KM 生存曲线、Logrank 统计量及质量控制报告。
基于 IOBR 包的 CIBERSORT 算法进行免疫细胞浸润分析流程。 输入基因表达 TPM 矩阵、临床信息和样本元数据，输出免疫细胞比例估计、可靠性评估及可视化图表。 适用于批量 RNA-seq 数据的肿瘤微环境免疫细胞组成分析。,基于 IOBR 包的 CIBERSORT 算法进行免疫细胞浸润分析流程。 输入基因表达 TPM 矩阵、临床信息和样本元数据，输出免疫细胞比例估计、可靠性评估及可视化图表。 适用于批量 RNA-seq 数据的肿瘤微环境免疫细胞组成分析。
将双端 FASTQ 测序数据转换为未比对的 BAM 文件 (uBAM)，并添加完整的 Read Group 信息。 适用于 GATK 最佳实践流程的起始步骤，输出可用于后续变异检测流程的标准化 BAM 文件。,将双端 FASTQ 测序数据转换为未比对的 BAM 文件 (uBAM)，并添加完整的 Read Group 信息。 适用于 GATK 最佳实践流程的起始步骤，输出可用于后续变异检测流程的标准化 BAM 文件。
本流程针对 RNA-seq count 矩阵进行无监督聚类分析，涵盖数据预处理、高变基因筛选、PCA 降维及高斯混合模型聚类。 同时通过 Bootstrap 重采样评估聚类稳定性并计算显著性 P 值，适用于无样本元数据场景的探索性分析。,本流程针对 RNA-seq count 矩阵进行无监督聚类分析，涵盖数据预处理、高变基因筛选、PCA 降维及高斯混合模型聚类。 同时通过 Bootstrap 重采样评估聚类稳定性并计算显著性 P 值，适用于无样本元数据场景的探索性分析。
基于 WDL 1.0 和 Cromwell 的生存分析流程，用于评估指定基因突变状态与无进展生存期（PFS）的关系。 流程整合了突变提取、Log-rank 检验、Kaplan-Meier 曲线绘制及单因素 Cox 回归分析，最终生成汇总报告。,基于 WDL 1.0 和 Cromwell 的生存分析流程，用于评估指定基因突变状态与无进展生存期（PFS）的关系。 流程整合了突变提取、Log-rank 检验、Kaplan-Meier 曲线绘制及单因素 Cox 回归分析，最终生成汇总报告。
从MAF文件和临床数据计算病人级肿瘤突变负荷（TMB），按TMB中位数将病人分为高/低组， 进行Kaplan-Meier生存分析和log-rank检验，输出生存曲线、TMB分布图及统计结果表。 适用于肿瘤队列的预后分析场景。,从MAF文件和临床数据计算病人级肿瘤突变负荷（TMB），按TMB中位数将病人分为高/低组， 进行Kaplan-Meier生存分析和log-rank检验，输出生存曲线、TMB分布图及统计结果表。 适用于肿瘤队列的预后分析场景。
本流程用于全外显子测序（WES）队列的体细胞突变景观分析。输入标准 MAF 文件，经过滤处理后绘制 Top N 突变基因 Oncoplot 及突变类型分布图。适用于癌症基因组学中的突变谱可视化与总结。,本流程用于全外显子测序（WES）队列的体细胞突变景观分析。输入标准 MAF 文件，经过滤处理后绘制 Top N 突变基因 Oncoplot 及突变类型分布图。适用于癌症基因组学中的突变谱可视化与总结。
基于基因表达矩阵和临床表型数据执行 WGCNA 共表达网络分析，包括样本 QC、模块识别、模块 - 性状关联、hub 基因筛选及 bootstrap 稳定性评估。 适用于转录组数据的系统性分析，输出模块划分结果、关键 hub 基因列表及功能富集分析结果。,基于基因表达矩阵和临床表型数据执行 WGCNA 共表达网络分析，包括样本 QC、模块识别、模块 - 性状关联、hub 基因筛选及 bootstrap 稳定性评估。 适用于转录组数据的系统性分析，输出模块划分结果、关键 hub 基因列表及功能富集分析结果。
对聚类分析执行Bootstrap重采样，通过比较不同运行间的ARI/NMI评估聚类稳定性， 统计最佳K的频率，并利用标签置换零分布评估稳定性显著性。 输入为logCPM表达矩阵，输出包含稳定性指标、最佳K频率、置换检验P值及可视化图表。,对聚类分析执行Bootstrap重采样，通过比较不同运行间的ARI/NMI评估聚类稳定性， 统计最佳K的频率，并利用标签置换零分布评估稳定性显著性。 输入为logCPM表达矩阵，输出包含稳定性指标、最佳K频率、置换检验P值及可视化图表。
基于CellChat方法分析乳腺癌单细胞转录组数据中的细胞间通讯网络。输入为Seurat格式的RDS文件，通过比较肿瘤与正常组织中的配体-受体互作，揭示肿瘤微环境中的细胞通讯变化。输出包括通讯网络分析结果、质控报告和运行日志。,基于CellChat方法分析乳腺癌单细胞转录组数据中的细胞间通讯网络。输入为Seurat格式的RDS文件，通过比较肿瘤与正常组织中的配体-受体互作，揭示肿瘤微环境中的细胞通讯变化。输出包括通讯网络分析结果、质控报告和运行日志。
对单细胞RNA-seq数据中指定的细胞类型进行病例-对照差异表达分析。输入为Seurat RDS文件，输出包括差异表达结果、分析摘要、质控报告等。适用于配对或非配对的病例-对照研究设计。,对单细胞RNA-seq数据中指定的细胞类型进行病例-对照差异表达分析。输入为Seurat RDS文件，输出包括差异表达结果、分析摘要、质控报告等。适用于配对或非配对的病例-对照研究设计。
对肿瘤队列的配对肿瘤/正常 WGS 或 WES BAM 运行 CNVkit，生成样本级分段、离散拷贝数、scatter/diagram 图，并可选汇总高频基因 CNV 与临床分期及总生存的探索性关联。输入为样本ID、肿瘤/正常BAM/BAI数组，输出包括CNV分段文件、BED文件、可视化图以及临床关联分析结果。,对肿瘤队列的配对肿瘤/正常 WGS 或 WES BAM 运行 CNVkit，生成样本级分段、离散拷贝数、scatter/diagram 图，并可选汇总高频基因 CNV 与临床分期及总生存的探索性关联。输入为样本ID、肿瘤/正常BAM/BAI数组，输出包括CNV分段文件、BED文件、可视化图以及临床关联分析结果。
整合基因表达矩阵与临床元数据，执行 Cox 比例风险回归分析和 Kaplan-Meier 生存曲线绘制。 支持自定义样本分组、生存时间/状态列映射，输出风险比、P 值及前 N 个显著基因。 适用于癌症预后标志物筛选和临床亚组生存差异分析场景。,整合基因表达矩阵与临床元数据，执行 Cox 比例风险回归分析和 Kaplan-Meier 生存曲线绘制。 支持自定义样本分组、生存时间/状态列映射，输出风险比、P 值及前 N 个显著基因。 适用于癌症预后标志物筛选和临床亚组生存差异分析场景。
对单细胞RNA-seq数据集进行标准化下游分析，包括基因排序、细胞类型注释和恶性细胞标记。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果文件、运行摘要和质量控制报告。,对单细胞RNA-seq数据集进行标准化下游分析，包括基因排序、细胞类型注释和恶性细胞标记。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果文件、运行摘要和质量控制报告。
该流程用于对单细胞RNA-seq数据集进行矩阵注释和细胞类型标注。输入为Seurat RDS格式的整合数据文件，输出包括注释结果压缩包、运行摘要、输入质量控制报告和分析清单等文件。,该流程用于对单细胞RNA-seq数据集进行矩阵注释和细胞类型标注。输入为Seurat RDS格式的整合数据文件，输出包括注释结果压缩包、运行摘要、输入质量控制报告和分析清单等文件。
本流程整合 CNCB 元数据，执行差异表达分析并生成富集分析结果。支持自动样本分组、生存分析关联，输出火山图、热图及富集分析可视化。适用于具有临床元数据的 bulk RNA-seq 数据。,本流程整合 CNCB 元数据，执行差异表达分析并生成富集分析结果。支持自动样本分组、生存分析关联，输出火山图、热图及富集分析可视化。适用于具有临床元数据的 bulk RNA-seq 数据。
本流程整合表达矩阵、样本元数据和临床信息，执行差异表达分析并生成火山图、热图及功能富集分析结果。 支持自动分组识别、生存分析关联，适用于批量 RNA-seq 数据的标准化差异表达与富集分析场景。,本流程整合表达矩阵、样本元数据和临床信息，执行差异表达分析并生成火山图、热图及功能富集分析结果。 支持自动分组识别、生存分析关联，适用于批量 RNA-seq 数据的标准化差异表达与富集分析场景。
本流程用于差异表达基因(DEG)的趋势分析与可视化。输入基因表达矩阵、样本元数据和临床信息，自动完成样本分组、差异分析，并生成火山图、热图、箱线图和趋势图等多种可视化结果。适用于批量 RNA-seq 数据的临床关联分析场景。,本流程用于差异表达基因(DEG)的趋势分析与可视化。输入基因表达矩阵、样本元数据和临床信息，自动完成样本分组、差异分析，并生成火山图、热图、箱线图和趋势图等多种可视化结果。适用于批量 RNA-seq 数据的临床关联分析场景。
基于基因表达矩阵和临床元数据生成箱线图、火山图、热图等可视化结果。支持从 CNCB 原生格式元数据自动映射样本分组信息，可整合生存分析和肿瘤分期数据。适用于 bulk RNA-seq 数据的探索性可视化分析。,基于基因表达矩阵和临床元数据生成箱线图、火山图、热图等可视化结果。支持从 CNCB 原生格式元数据自动映射样本分组信息，可整合生存分析和肿瘤分期数据。适用于 bulk RNA-seq 数据的探索性可视化分析。
本流程基于limma moderated t统计量构建全基因排序，使用fgseaMultilevel执行预排序GSEA。 输入为表达矩阵和样本元数据，输出包括通路富集结果、显著通路、排序基因列表及可视化图表。 适用于病例-对照转录组比较分析，支持协变量校正和配对设计。,本流程基于limma moderated t统计量构建全基因排序，使用fgseaMultilevel执行预排序GSEA。 输入为表达矩阵和样本元数据，输出包括通路富集结果、显著通路、排序基因列表及可视化图表。 适用于病例-对照转录组比较分析，支持协变量校正和配对设计。
从logCPM表达矩阵中筛选高变基因，执行PCA降维，并在候选K范围内拟合高斯混合模型（GMM），最终依据BIC选择最佳聚类数。输入为预处理后的logCPM矩阵，输出包括高变基因统计、PCA结果、GMM聚类指标及可视化图表。,从logCPM表达矩阵中筛选高变基因，执行PCA降维，并在候选K范围内拟合高斯混合模型（GMM），最终依据BIC选择最佳聚类数。输入为预处理后的logCPM矩阵，输出包括高变基因统计、PCA结果、GMM聚类指标及可视化图表。
基于CellChat的免疫治疗细胞通讯分析流程。输入Seurat格式的单细胞RNA-seq数据，通过比较响应者与非响应者之间的细胞通讯网络差异，揭示免疫治疗相关的细胞间相互作用机制。输出包括通讯网络分析结果、质控报告和运行日志。,基于CellChat的免疫治疗细胞通讯分析流程。输入Seurat格式的单细胞RNA-seq数据，通过比较响应者与非响应者之间的细胞通讯网络差异，揭示免疫治疗相关的细胞间相互作用机制。输出包括通讯网络分析结果、质控报告和运行日志。
对特发性肺纤维化(IPF)单细胞RNA-seq数据进行轨迹推断和调控子分析。输入为Seurat RDS对象，输出包括分析结果压缩包、运行摘要、质控报告和文件清单等。,对特发性肺纤维化(IPF)单细胞RNA-seq数据进行轨迹推断和调控子分析。输入为Seurat RDS对象，输出包括分析结果压缩包、运行摘要、质控报告和文件清单等。
整合基因表达矩阵与临床元数据，执行 Kaplan-Meier 生存分析和 Cox 比例风险模型。 支持样本分组、肿瘤分期过滤和生存数据验证，输出生存曲线及统计结果。,整合基因表达矩阵与临床元数据，执行 Kaplan-Meier 生存分析和 Cox 比例风险模型。 支持样本分组、肿瘤分期过滤和生存数据验证，输出生存曲线及统计结果。
基于单细胞RNA-seq数据对肺癌肿瘤微环境进行细胞类型注释和拷贝数变异(CNV)分析。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果包、运行摘要、质控报告和分析清单。,基于单细胞RNA-seq数据对肺癌肿瘤微环境进行细胞类型注释和拷贝数变异(CNV)分析。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果包、运行摘要、质控报告和分析清单。
对RNA-seq原始count矩阵执行样本质量控制、低表达基因过滤和logCPM标准化。 输入为基因ID为第一列、其余列为样本count值的TSV矩阵，输出标准化后的logCPM矩阵及QC统计文件。,对RNA-seq原始count矩阵执行样本质量控制、低表达基因过滤和logCPM标准化。 输入为基因ID为第一列、其余列为样本count值的TSV矩阵，输出标准化后的logCPM矩阵及QC统计文件。
比较两组 bulk RNA-seq 数据中的差异剪接事件，覆盖 skipped exon（SE）、mutually exclusive exon（MXE）、 alternative 5'/3' splice site（A5SS/A3SS）和 retained intron（RI），并为代表性事件生成 sashimi plot。 流程从已比对 BAM 开始，不包含 FASTQ 质控和比对。,比较两组 bulk RNA-seq 数据中的差异剪接事件，覆盖 skipped exon（SE）、mutually exclusive exon（MXE）、 alternative 5'/3' splice site（A5SS/A3SS）和 retained intron（RI），并为代表性事件生成 sashimi plot。 流程从已比对 BAM 开始，不包含 FASTQ 质控和比对。
